pipeID,Shape_length
KQD0643001,38.470565
KQD0643002,33.92945888
KQD0643003,18.34723543
KQD0643004,53.11372114
KQD0643005,62.95644838
KQD0643006,49.11409921
KQD0643007,49.09025201
KQD0644001,33.35532466
KQD0653001,8.001015339
KQD0653002,20.93442669
KQD0653003,31.40758353
KQD0653004,42.44002511
KQD0654001,35.54170556
KQD0654002,36.06137732
KQD0654003,77.20365987
KQD0654004,21.86380412
KQD0654005,41.86390597
KQD0654006,37.6669454
KQD0654007,60.90973279
KQD0654008,21.06480435
KQD0654009,22.93050376
KQD0654010,59.31268677
KQD0654011,21.98926911
KQD0654012,20.41761078
KQD0654013,73.8098051
KQD0654014,50.30081695
KQD0654015,21.53979491
KQD0654016,14.09082505
KQD0654017,17.98878832
KQD0654018,50.00586099
KQD0654019,72.7606073
KQD0654020,31.93540361
KQD0654021,31.42597551
KQD0664001,13.63129557
KQD0664002,13.08632829
KQD0664003,8.914632324
KQD0664004,13.81636602
KQD0664005,36.01370777
KQD0664006,35.41807098
KQD0664007,40.68256546
KQD0664008,23.42544261
KQD0664009,40.42139962
KQD0664010,39.24074834
KQD0664011,39.79586027
KQD0664012,37.20813957
KQD0664013,9.402755561
KQD0664014,1.817780684
KQD0664015,64.07786731
KQD0664016,62.06893077
KQD0665001,34.90974147
KQD0665002,40.81033119
KQD0665003,42.42942801
KQD0665004,35.83762949
KQD0665005,2.896218345
KQD0665006,1.898390814
KQD0839001,28.09146543
KQD0839002,37.79630464
KQD0849001,41.53716595
KQD0849002,23.11865839
KQD0849003,19.6065037
KQD0849004,33.91639132
KQD0849005,35.09435962
KQD0849006,14.19819198
KQD0849007,16.1594388
KQD0849008,21.96244865
KQD0849009,22.4659457
KQD0849010,8.631684157
KQD0849011,17.84198538
KQD0849012,37.59203185
KQD0849013,3.476121013
KQD0849014,42.87723024
KQD0858001,37.98987276
KQD0858002,7.720877266
KQD0858003,49.62226715
KQD0858004,49.68574677
KQD0859001,15.96866004
KQD0859002,39.71831375
KQD0859003,50.20611372
KQD0859004,22.05261435
KQD0859005,13.59250388
KQD0859006,49.64408847
KQD0859007,45.00760986
