upMH,SUM_Area
JQD0950009,64.48216867
JQD0950010,400.6454061
JQD0950011,495.2487059
JQD0950012,200.6203711
JQD0960001,91.74769314
JQD0960002,
JQD0960003,
JQD0960004,
JQD0960005,
JQD0960006,464.4259014
JQD0960007,101.0347074
JQD0960008,345.3350697
JQD0960009,
JQD0960010,
JQD0960011,553.5582245
JQD0960012,258.0413508
JQD0960013,
JQD0960014,
JQD0960015,503.6411844
JQD0960016,
JQD0960017,31.52493557
JQD0960018,119.5709391
JQD0970001,112.512406
JQD0970002,
JQD0970003,
JQD0970004,479.8669719
JQD0970005,57.2794724
JQD0970006,
JQD0970007,22.11813796
JQD0970008,74.20592179
JQD0970009,
JQD0970010,
JQD0970011,
JQD0970012,
JQD0970013,
JQD0970014,
JQD0970015,
JQD0980001,1620.781843
JQD0980002,
JQD0980003,
JQD0980004,
JQD0980005,
JQD0980006,
JQD0980007,99.22973521
JQD0980008,
JQD0980009,
JQD0980010,
JQD0980011,
JQD0980012,162.4743053
JQD0981001,195.3137223
JQD0981002,1108.162176
JQD0981003,122.7658811
JQD0981004,968.9649017
JQD0981005,137.7425137
JQD0981006,
JQD0981007,43.4934712
JQD0981008,
JQD0981009,408.4948242
JQD0981010,503.5467147
JQD0981011,77.4096011
JQD0981012,160.2712649
JQD0981013,31.1251565
JQD0987001,671.8672447
JQD0987002,332.8863212
JQD0987003,874.5572676
JQD0988001,203.8924242
JQD0988002,414.9775239
JQD0988003,407.423219
JQD0988004,576.6276399
JQD0988005,225.533965
JQD0988006,200.8285121
JQD0988007,213.462413
JQD0988008,228.8865632
JQD0988009,15.85483282
JQD0988010,340.8517395
JQD0988011,381.1184737
JQD0988012,499.4373746
JQD0988013,317.6185584
JQD0988014,318.7586483
JQD0990001,21.88462844
JQD0990002,143.3517668
JQD0990003,222.9164328
JQD0990004,472.3189378
JQD0990005,527.384451
JQD0990006,212.5241006
JQD0990007,283.3476027
JQD0990008,269.9602033
JQD0990009,72.69269734
JQD0990010,1094.794483
JQD0990011,213.7133405
JQD0990012,125.8663431
JQD0990013,712.8007957
JQD0990014,23.47863871
JQD0991001,
JQD0991002,33.14612261
JQD0991003,576.0471981
JQD0991004,239.167746
JQD0991005,113.6420993
JQD0991006,919.2925958
JQD0991007,368.0748758
JQD0991008,759.7253813
JQD0991009,
JQD0991010,575.0863568
JQD0991012,36.74188905
JQD0991013,
JQD0991014,529.362572
JQD0991015,
JQD0991016,
JQD0991017,46.59576799
JQD0991018,719.6787904
JQD0991019,194.2343583
JQD0991020,385.3318845
JQD0991021,775.6504297
JQD0991022,683.3836893
JQD0991023,1016.864073
JQD0991024,
JQD0991025,207.3288412
JQD0997001,
JQD0997002,
JQD0997003,
JQD0997004,10.97576898
JQD0997005,
JQD0997006,117.5009534
JQD0997007,
JQD0997008,
JQD0997009,
JQD0997010,134.8209938
JQD0997011,236.6654169
JQD0997013,
JQD0997014,
JQD0997015,
JQD0997016,
JQD0997017,
JQD0997018,
JQD0997019,
JQD0997020,
JQD0997021,
JQD0997022,
JQD0997023,
JQD0997024,332.2878118
JQD0997025,262.4587966
JQD0997026,
JQD0997027,
JQD0997028,123.6136904
JQD0997029,224.7224647
JQD0997030,
JQD0997031,248.6279238
JQD0997032,9.826035573
JQD0997033,1.151047295
JQD0997034,116.4031953
JQD0997035,115.8675824
JQD0997036,
JQD0997037,
JQD0997038,199.2327898
JQD0997039,
JQD0997040,
JQD0997041,
JQD0997042,
JQD0997043,
JQD0997044,
JQD0997045,34.39245879
JQD0997046,
JQD0997047,525.0787256
JQD0997048,
JQD0997049,
JQD0997050,
JQD0997051,
JQD0997052,417.8569151
JQD0997053,246.6886461
JQD0997054,196.1715985
JQD0997055,460.5337867
JQD0997056,325.1658031
JQD0997057,400.8612718
JQD0997058,292.2545816
JQD0997059,473.2189271
JQD0997060,299.8412965
JQD0997061,359.0897747
JQD0997062,27.63368136
JQD0997063,156.9041268
JQD0997064,129.9739106
JQD0997065,85.64178294
JQD0997066,358.1218277
JQD0997067,185.1246498
JQD0997068,7.807018942
JQD0997069,775.9070544
JQD0997070,495.8022882
JQD0998001,11.83780344
JQD0998002,127.6432705
JQD0998003,524.9232048
JQD0998004,231.8193301
JQD0998005,684.0831727
JQD0998006,347.4457048
JQD0998007,532.3977648
JQD0998008,346.0076621
JQD0998009,143.1093846
JQD0998010,375.0871407
JQD0998011,44.01011756
JQD0998012,187.8383113
JQD0998013,225.127049
JQD0998014,233.6447168
JQD0998015,18.19370113
JQD0998016,36.69837847
JQD0998017,343.4517611
JQD0998018,106.1682074
JQD0998019,127.6291611
JQD0998020,248.6515571
